ISO3,item_name,band_name,deltaE_mean,deltaE_mean_sem,unit,pixel_count,physical_area_km2,sp_count
AFG,ACOF,all,0.0,,deltaE per km2 per sp.,7091.0,0.0,31076
GBR,ACOF,all,0.0,,deltaE per km2 per sp.,3166.0,0.0,31076
ALB,ACOF,all,0.0,,deltaE per km2 per sp.,434.0,0.0,31076
DZA,ACOF,all,0.0,,deltaE per km2 per sp.,3423.0,0.0,31076
USA,ACOF,all,-7.899816846354518e-08,6.857333314360621e-10,deltaE per km2 per sp.,81532.0,227.54099982261656,31076
ATA,ACOF,all,,,deltaE per km2 per sp.,,,31076
ATG,ACOF,all,0.0,,deltaE per km2 per sp.,6.0,0.0,31076
ARG,ACOF,all,-3.518728068178471e-09,6.497466010247919e-09,deltaE per km2 per sp.,19987.0,0.006000000089406967,31076
AND,ACOF,all,0.0,,deltaE per km2 per sp.,1.0,0.0,31076
AGO,ACOF,all,-8.319971569789538e-10,1.5099654292106123e-09,deltaE per km2 per sp.,7779.0,0.17999999985098838,31076
ARM,ACOF,all,0.0,,deltaE per km2 per sp.,405.0,0.0,31076
NLD,ACOF,all,0.0,,deltaE per km2 per sp.,673.0,0.0,31076
AUS,ACOF,all,0.0,,deltaE per km2 per sp.,16655.0,0.0,31076
AUT,ACOF,all,0.0,,deltaE per km2 per sp.,898.0,0.0,31076
AZE,ACOF,all,0.0,,deltaE per km2 per sp.,1031.0,0.0,31076
BHS,ACOF,all,0.0,,deltaE per km2 per sp.,12.0,0.0,31076
BRB,ACOF,all,0.0,,deltaE per km2 per sp.,6.0,0.0,31076
BLR,ACOF,all,0.0,,deltaE per km2 per sp.,3926.0,0.0,31076
BEL,ACOF,all,0.0,,deltaE per km2 per sp.,539.0,0.0,31076
BLZ,ACOF,all,-5.976868342525509e-09,1.8574644126788581e-10,deltaE per km2 per sp.,39.0,0.4940000008046628,31076
BTN,ACOF,all,0.0,,deltaE per km2 per sp.,266.0,0.0,31076
BOL,ACOF,all,-3.4530077237009984e-09,4.0257332716103575e-09,deltaE per km2 per sp.,6068.0,282.34100012585526,31076
BIH,ACOF,all,0.0,,deltaE per km2 per sp.,663.0,0.0,31076
BWA,ACOF,all,0.0,,deltaE per km2 per sp.,944.0,0.0,31076
NOR,ACOF,all,0.0,,deltaE per km2 per sp.,1891.0,0.0,31076
COL,ACOF,all,-4.146377483554257e-08,1.2361826612910906e-09,deltaE per km2 per sp.,5944.0,7551.1509901908785,31076
COM,ACOF,all,,,deltaE per km2 per sp.,,,31076
BRA,ACOF,all,-1.5647834737389107e-08,2.81884956558055e-10,deltaE per km2 per sp.,55154.0,12907.875010183305,31076
FRA,ACOF,all,-1.0457841552519898e-07,2.266674829155915e-09,deltaE per km2 per sp.,9006.0,0.47599999628961087,31076
COD,ACOF,all,-8.54876475044372e-09,1.9319083575695166e-10,deltaE per km2 per sp.,12389.0,118.05199994817376,31076
COG,ACOF,all,-1.1688099952314206e-09,5.797038124453781e-09,deltaE per km2 per sp.,1776.0,0.01800000064074993,31076
NZL,ACOF,all,0.0,,deltaE per km2 per sp.,2940.0,0.0,31076
BRN,ACOF,all,-1.1675422406653979e-08,3.5874213043638538e-09,deltaE per km2 per sp.,40.0,0.0010000000149011613,31076
BGR,ACOF,all,0.0,,deltaE per km2 per sp.,1621.0,0.0,31076
BFA,ACOF,all,0.0,,deltaE per km2 per sp.,2882.0,0.0,31076
BDI,ACOF,all,-7.361561833357719e-09,1.1150280521809957e-09,deltaE per km2 per sp.,299.0,618.0790017676353,31076
CPV,ACOF,all,0.0,,deltaE per km2 per sp.,42.0,0.0,31076
KHM,ACOF,all,0.0,,deltaE per km2 per sp.,1508.0,0.0,31076
