ISO3,item_name,band_name,deltaE_mean,deltaE_mean_sem,unit,pixel_count,physical_area_km2,sp_count
GUY,CASS,all,-3.28E-09,2.64E-10,deltaE per km2 per sp.,428,4.147999988,31076
HTI,CASS,all,-1.47E-07,1.45E-08,deltaE per km2 per sp.,325,1046.285999,31076
JOR,CASS,all,,,deltaE per km2 per sp.,,,31076
HND,CASS,all,-1.64E-08,2.85E-09,deltaE per km2 per sp.,273,32.34699993,31076
HUN,CASS,all,,,deltaE per km2 per sp.,,,31076
ISL,CASS,all,,,deltaE per km2 per sp.,,,31076
IDN,CASS,all,-1.82E-08,6.32E-10,deltaE per km2 per sp.,15346,11536.215,31076
IRN,CASS,all,,,deltaE per km2 per sp.,,,31076
IRQ,CASS,all,,,deltaE per km2 per sp.,,,31076
IRL,CASS,all,,,deltaE per km2 per sp.,,,31076
KAZ,CASS,all,,,deltaE per km2 per sp.,,,31076
KEN,CASS,all,-4.22E-09,4.50E-10,deltaE per km2 per sp.,846,645.1599987,31076
KIR,CASS,all,,,deltaE per km2 per sp.,,,31076
PRK,CASS,all,,,deltaE per km2 per sp.,,,31076
KOR,CASS,all,,,deltaE per km2 per sp.,,,31076
XKX,CASS,all,,,deltaE per km2 per sp.,,,31076
SRB,CASS,all,,,deltaE per km2 per sp.,,,31076
SYC,CASS,all,,,deltaE per km2 per sp.,,,31076
SLE,CASS,all,-5.23E-09,1.20E-10,deltaE per km2 per sp.,812,3893.584998,31076
SGP,CASS,all,,,deltaE per km2 per sp.,,,31076
ITA,CASS,all,,,deltaE per km2 per sp.,,,31076
JAM,CASS,all,-8.11E-08,7.83E-09,deltaE per km2 per sp.,119,9.423999993,31076
JPN,CASS,all,,,deltaE per km2 per sp.,,,31076
KGZ,CASS,all,,,deltaE per km2 per sp.,,,31076
LAO,CASS,all,-4.91E-09,4.55E-10,deltaE per km2 per sp.,1648,213.3159999,31076
LVA,CASS,all,,,deltaE per km2 per sp.,,,31076
LBN,CASS,all,,,deltaE per km2 per sp.,,,31076
LSO,CASS,all,,,deltaE per km2 per sp.,,,31076
LBR,CASS,all,-8.67E-09,2.84E-10,deltaE per km2 per sp.,827,616.6340003,31076
LBY,CASS,all,,,deltaE per km2 per sp.,,,31076
LIE,CASS,all,,,deltaE per km2 per sp.,,,31076
LTU,CASS,all,,,deltaE per km2 per sp.,,,31076
LUX,CASS,all,,,deltaE per km2 per sp.,,,31076
MCO,CASS,all,,,deltaE per km2 per sp.,,,31076
MNG,CASS,all,,,deltaE per km2 per sp.,,,31076
MNE,CASS,all,,,deltaE per km2 per sp.,,,31076
MKD,CASS,all,,,deltaE per km2 per sp.,,,31076
MDG,CASS,all,-2.66E-08,1.35E-09,deltaE per km2 per sp.,4857,4251.629003,31076
MWI,CASS,all,-3.56E-09,5.97E-10,deltaE per km2 per sp.,892,1940.176002,31076
MYS,CASS,all,-3.08E-08,7.34E-09,deltaE per km2 per sp.,946,28.0640001,31076
MDV,CASS,all,,,deltaE per km2 per sp.,,,31076
MLI,CASS,all,-1.15E-09,3.82E-11,deltaE per km2 per sp.,4828,30.55400015,31076
MLT,CASS,all,,,deltaE per km2 per sp.,,,31076
MHL,CASS,all,,,deltaE per km2 per sp.,,,31076
MRT,CASS,all,,,deltaE per km2 per sp.,,,31076
MUS,CASS,all,-8.20E-08,2.04E-08,deltaE per km2 per sp.,22,0.288000002,31076
MEX,CASS,all,-4.18E-09,5.51E-10,deltaE per km2 per sp.,190,13.80800001,31076
FSM,CASS,all,,,deltaE per km2 per sp.,,,31076
MDA,CASS,all,,,deltaE per km2 per sp.,,,31076
NIC,CASS,all,-9.06E-09,2.64E-10,deltaE per km2 per sp.,1144,101.102,31076
OMN,CASS,all,,,deltaE per km2 per sp.,,,31076
PAK,CASS,all,,,deltaE per km2 per sp.,,,31076
PLW,CASS,all,,,deltaE per km2 per sp.,,,31076
PAN,CASS,all,-2.81E-08,2.50E-09,deltaE per km2 per sp.,567,15.70399996,31076
PNG,CASS,all,-2.82E-08,1.26E-09,deltaE per km2 per sp.,1438,141.2829999,31076
PRY,CASS,all,-4.20E-09,8.74E-11,deltaE per km2 per sp.,2550,1789.661999,31076
PER,CASS,all,-1.35E-08,5.80E-10,deltaE per km2 per sp.,1742,908.5999966,31076
PHL,CASS,all,-3.96E-08,2.40E-09,deltaE per km2 per sp.,2989,2144.301994,31076
POL,CASS,all,,,deltaE per km2 per sp.,,,31076
PRT,CASS,all,,,deltaE per km2 per sp.,,,31076
ROU,CASS,all,,,deltaE per km2 per sp.,,,31076
RUS,CASS,all,,,deltaE per km2 per sp.,,,31076
RWA,CASS,all,-3.08E-09,1.61E-09,deltaE per km2 per sp.,100,1158.393999,31076
WSM,CASS,all,,,deltaE per km2 per sp.,,,31076
SMR,CASS,all,,,deltaE per km2 per sp.,,,31076
TON,CASS,all,,,deltaE per km2 per sp.,,,31076
TTO,CASS,all,-3.46E-08,7.85E-09,deltaE per km2 per sp.,39,8.205000028,31076
TUN,CASS,all,,,deltaE per km2 per sp.,,,31076
TKM,CASS,all,,,deltaE per km2 per sp.,,,31076
STP,CASS,all,-6.49E-07,1.18E-07,deltaE per km2 per sp.,12,2.275000019,31076
SAU,CASS,all,,,deltaE per km2 per sp.,,,31076
SEN,CASS,all,-1.48E-09,1.98E-10,deltaE per km2 per sp.,991,247.9330006,31076
SVK,CASS,all,,,deltaE per km2 per sp.,,,31076
SVN,CASS,all,,,deltaE per km2 per sp.,,,31076
SLB,CASS,all,-4.66E-08,2.30E-09,deltaE per km2 per sp.,166,1.701000008,31076
SOM,CASS,all,-5.79E-09,1.32E-09,deltaE per km2 per sp.,1953,90.33699999,31076
ZAF,CASS,all,,,deltaE per km2 per sp.,,,31076
SSD,CASS,all,-1.15E-09,1.33E-10,deltaE per km2 per sp.,2070,65.73700015,31076
ESP,CASS,all,,,deltaE per km2 per sp.,,,31076
LKA,CASS,all,-6.02E-08,5.31E-09,deltaE per km2 per sp.,683,236.5880004,31076
