Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","784","United Arab Emirates","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3306","E","Estimated value"
"FBS","Food Balances (2010-)","826","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3362","E","Estimated value"
"FBS","Food Balances (2010-)","834","United Republic of Tanzania","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2380","E","Estimated value"
"FBS","Food Balances (2010-)","840","United States of America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3911","E","Estimated value"
"FBS","Food Balances (2010-)","858","Uruguay","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3283","E","Estimated value"
"FBS","Food Balances (2010-)","860","Uzbekistan","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3267","E","Estimated value"
"FBS","Food Balances (2010-)","548","Vanuatu","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2819","E","Estimated value"
"FBS","Food Balances (2010-)","862","Venezuela (Bolivarian Republic of)","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2310","E","Estimated value"
"FBS","Food Balances (2010-)","704","Viet Nam","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3048","E","Estimated value"
"FBS","Food Balances (2010-)","887","Yemen","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2173","E","Estimated value"
"FBS","Food Balances (2010-)","894","Zambia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2220","E","Estimated value"
"FBS","Food Balances (2010-)","716","Zimbabwe","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2049","E","Estimated value"
