Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","178","Congo","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2194","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2989","E","Estimated value"
"FBS","Food Balances (2010-)","384","Côte d'Ivoire","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2919","E","Estimated value"
"FBS","Food Balances (2010-)","191","Croatia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3259","E","Estimated value"
"FBS","Food Balances (2010-)","192","Cuba","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3417","E","Estimated value"
"FBS","Food Balances (2010-)","196","Cyprus","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3043","E","Estimated value"
"FBS","Food Balances (2010-)","203","Czechia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3404","E","Estimated value"
"FBS","Food Balances (2010-)","408","Democratic People's Republic of Korea","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","1982","E","Estimated value"
"FBS","Food Balances (2010-)","180","Democratic Republic of the Congo","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2096","E","Estimated value"
"FBS","Food Balances (2010-)","208","Denmark","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3584","E","Estimated value"
"FBS","Food Balances (2010-)","262","Djibouti","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2814","E","Estimated value"
"FBS","Food Balances (2010-)","212","Dominica","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2983","E","Estimated value"
"FBS","Food Balances (2010-)","214","Dominican Republic","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3107","E","Estimated value"
"FBS","Food Balances (2010-)","218","Ecuador","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2582","E","Estimated value"
"FBS","Food Balances (2010-)","818","Egypt","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3127","E","Estimated value"
"FBS","Food Balances (2010-)","222","El Salvador","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2791","E","Estimated value"
"FBS","Food Balances (2010-)","233","Estonia","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3289","E","Estimated value"
"FBS","Food Balances (2010-)","748","Eswatini","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2549","E","Estimated value"
