,livestock,fcr,item_name,production,rum_feed_req,pasture_produced,g_rat,eff_yield_tonnes_km2,fp_m2_kg,fp_m2_kg_err,fp_m2_kg_perc,Country_ISO
656,bvmeat,25,Beef and Buffalo Meat,276447.0,6911175.0,276447.0,0.876819962742629,0.9554050060606062,1046.6765336757771,12.458516134904597,0.011902928683374685,BOL
657,bvmilk,0.7,"Milk, Total",602309.0,421616.3,602309.0,0.053490410596994734,34.12160735930736,29.306942942921758,0.3488384517773287,0.011902928683374685,BOL
658,sgmeat,15,Sheep and Goat Meat,36620.0,549300.0,36620.0,0.06968962666037629,1.5923416767676768,628.0059202054663,15.836948819831317,0.02521783363865408,BOL
659,other,15,"Meat, nes",,,,,,,,,BOL
660,bvmeat,25,Beef and Buffalo Meat,3908.0,97700.0,2793.216009461986,0.43021036714513805,1.5720762227602907,636.1014723854643,35.95192579886838,0.05651916771084325,BTN
661,bvmilk,0.7,"Milk, Total",179776.0,125843.2,128493.65437999947,0.554135611819028,56.145579384296084,17.810841226793002,1.0066539223683149,0.05651916771084325,BTN
662,sgmeat,15,Sheep and Goat Meat,237.0,3555.0,169.3941131633804,0.015654021035833837,2.620127037933818,381.66088343127853,42.662963478670186,0.11178238412884677,BTN
663,other,15,"Meat, nes",,,,,,,,,BTN
664,bvmeat,25,Beef and Buffalo Meat,44064.0,1101600.0,0.0,0.8124962753211779,,,,0.02246521043807715,BEN
665,bvmilk,0.7,"Milk, Total",156388.0,109471.59999999999,0.0,0.08074189111605833,,,,0.02246521043807715,BEN
666,sgmeat,15,Sheep and Goat Meat,9650.0,144750.0,0.0,0.10676183356276371,,,,0.025015287008527263,BEN
667,other,15,"Meat, nes",,,,,,,,,BEN
668,bvmeat,25,Beef and Buffalo Meat,1578.0,39450.0,786.2956153717511,0.9163677921691784,1.7161136000000017,582.7120069440618,36.62386285841693,0.06285070913586423,BLZ
669,bvmilk,0.7,"Milk, Total",4522.0,3165.3999999999996,2253.250172820696,0.0735277720996785,61.289771428571505,16.31593619443373,1.0254681600356736,0.06285070913586423,BLZ
