ISO3,item_name,band_name,data_mean,data_mean_sem,unit,pixel_count,physical_area_km2
AFG,RCOF,median,0.0,,tonnes carbon per km2,7090.0,0.0
GBR,RCOF,median,0.0,,tonnes carbon per km2,3048.0,0.0
ALB,RCOF,median,0.0,,tonnes carbon per km2,430.0,0.0
DZA,RCOF,median,0.0,,tonnes carbon per km2,3571.0,0.0
USA,RCOF,median,0.0,,tonnes carbon per km2,85150.0,0.0
ATA,RCOF,median,,,tonnes carbon per km2,,
ATG,RCOF,median,,,tonnes carbon per km2,,
ARG,RCOF,median,0.0,,tonnes carbon per km2,20485.0,0.0
AND,RCOF,median,0.0,,tonnes carbon per km2,1.0,0.0
AGO,RCOF,median,0.2484504237450428,0.017493669173667004,tonnes carbon per km2,7852.0,354.5929998944699
ARM,RCOF,median,0.0,,tonnes carbon per km2,404.0,0.0
NLD,RCOF,median,0.0,,tonnes carbon per km2,637.0,0.0
AUS,RCOF,median,0.0,,tonnes carbon per km2,16774.0,0.0
AUT,RCOF,median,0.0,,tonnes carbon per km2,894.0,0.0
AZE,RCOF,median,0.0,,tonnes carbon per km2,1029.0,0.0
BHS,RCOF,median,,,tonnes carbon per km2,,
BRB,RCOF,median,,,tonnes carbon per km2,,
BLR,RCOF,median,0.0,,tonnes carbon per km2,3920.0,0.0
BEL,RCOF,median,0.0,,tonnes carbon per km2,538.0,0.0
BLZ,RCOF,median,0.0,,tonnes carbon per km2,38.0,0.0
BTN,RCOF,median,0.0,,tonnes carbon per km2,293.0,0.0
BOL,RCOF,median,0.4475203941675741,0.31887351248780405,tonnes carbon per km2,6535.0,0.012999999895691871
BIH,RCOF,median,0.0,,tonnes carbon per km2,663.0,0.0
BWA,RCOF,median,0.0,,tonnes carbon per km2,947.0,0.0
NOR,RCOF,median,0.0,,tonnes carbon per km2,2569.0,0.0
COL,RCOF,median,0.0072121152250194985,0.3754215346826358,tonnes carbon per km2,7215.0,0.03899999991059303
COM,RCOF,median,,,tonnes carbon per km2,,
BRA,RCOF,median,0.8317717287952809,0.010458740944681565,tonnes carbon per km2,55819.0,8537.577995237709
FRA,RCOF,median,0.0,,tonnes carbon per km2,8887.0,0.0
COD,RCOF,median,0.11335372441772312,0.004545669760262247,tonnes carbon per km2,12894.0,696.1380001757293
COG,RCOF,median,0.1722409872926971,0.013171103233466657,tonnes carbon per km2,1783.0,89.58999971903859
NZL,RCOF,median,0.0,,tonnes carbon per km2,2958.0,0.0
BRN,RCOF,median,0.007820145487785339,0.06735401366811998,tonnes carbon per km2,40.0,0.0010000000149011613
BGR,RCOF,median,0.0,,tonnes carbon per km2,1621.0,0.0
BFA,RCOF,median,0.0,,tonnes carbon per km2,2889.0,0.0
BDI,RCOF,median,0.0,,tonnes carbon per km2,288.0,0.0
CPV,RCOF,median,,,tonnes carbon per km2,,
KHM,RCOF,median,0.154798779792039,0.02836902824383509,tonnes carbon per km2,1504.0,5.065000000074506
CMR,RCOF,median,0.07488742681599841,0.0026904330765566554,tonnes carbon per km2,4133.0,1332.4979990926386
CAN,RCOF,median,0.0,,tonnes carbon per km2,18591.0,0.0
CRI,RCOF,median,0.0,,tonnes carbon per km2,525.0,0.0
CIV,RCOF,median,0.42543860024914637,0.012547436141005978,tonnes carbon per km2,3409.0,4106.836001497656
HRV,RCOF,median,0.0,,tonnes carbon per km2,798.0,0.0
CUB,RCOF,median,0.0,,tonnes carbon per km2,1232.0,0.0
CAF,RCOF,median,0.01745052398900063,0.0026152633391374057,tonnes carbon per km2,3839.0,86.63699991613628
TCD,RCOF,median,0.0,,tonnes carbon per km2,4944.0,0.0
CHL,RCOF,median,0.0,,tonnes carbon per km2,2500.0,0.0
CHN,RCOF,median,0.4869830288118451,0.02937739626355484,tonnes carbon per km2,71268.0,1.129000007584691
CYP,RCOF,median,0.0,,tonnes carbon per km2,118.0,0.0
CZE,RCOF,median,0.0,,tonnes carbon per km2,1190.0,0.0
DNK,RCOF,median,0.0,,tonnes carbon per km2,804.0,0.0
DJI,RCOF,median,0.0,,tonnes carbon per km2,36.0,0.0
DMA,RCOF,median,,,tonnes carbon per km2,,
DOM,RCOF,median,0.0,,tonnes carbon per km2,568.0,0.0
ECU,RCOF,median,0.5811101830163747,0.022549873526292546,tonnes carbon per km2,1434.0,933.194999209866
EGY,RCOF,median,0.0,,tonnes carbon per km2,1666.0,0.0
SLV,RCOF,median,0.0,,tonnes carbon per km2,247.0,0.0
GNQ,RCOF,median,0.1558063536396738,0.03079816301314004,tonnes carbon per km2,263.0,111.46199984766542
ERI,RCOF,median,0.0,,tonnes carbon per km2,648.0,0.0
EST,RCOF,median,0.0,,tonnes carbon per km2,832.0,0.0
ETH,RCOF,median,0.0,,tonnes carbon per km2,6468.0,0.0
FJI,RCOF,median,,,tonnes carbon per km2,,
FIN,RCOF,median,0.0,,tonnes carbon per km2,4313.0,0.0
GAB,RCOF,median,0.1225250801191704,0.06203547863595523,tonnes carbon per km2,1512.0,4.921000013947486
GMB,RCOF,median,0.0,,tonnes carbon per km2,117.0,0.0
MAR,RCOF,median,0.0,,tonnes carbon per km2,3488.0,0.0
MOZ,RCOF,median,0.0,,tonnes carbon per km2,6723.0,0.0
NAM,RCOF,median,0.0,,tonnes carbon per km2,1907.0,0.0
GEO,RCOF,median,0.0,,tonnes carbon per km2,807.0,0.0
DEU,RCOF,median,0.0,,tonnes carbon per km2,6139.0,0.0
GHA,RCOF,median,0.7464847045278438,0.07034411751670269,tonnes carbon per km2,2500.0,37.382999980747705
GRC,RCOF,median,0.0,,tonnes carbon per km2,1783.0,0.0
GRL,RCOF,median,,,tonnes carbon per km2,,
GRD,RCOF,median,,,tonnes carbon per km2,,
NRU,RCOF,median,,,tonnes carbon per km2,,
GTM,RCOF,median,0.6091309234240094,0.02641132455300356,tonnes carbon per km2,1175.0,451.98699994035064
NPL,RCOF,median,0.0,,tonnes carbon per km2,1733.0,0.0
GIN,RCOF,median,0.16686891481798874,0.009517119617093733,tonnes carbon per km2,2590.0,650.453999094665
GNB,RCOF,median,0.0,,tonnes carbon per km2,365.0,0.0
GUY,RCOF,median,0.42491712551555083,0.019549675459293207,tonnes carbon per km2,684.0,5.583000027164817
HTI,RCOF,median,0.0,,tonnes carbon per km2,312.0,0.0
JOR,RCOF,median,0.0,,tonnes carbon per km2,309.0,0.0
HND,RCOF,median,0.0,,tonnes carbon per km2,1127.0,0.0
HUN,RCOF,median,0.0,,tonnes carbon per km2,1341.0,0.0
ISL,RCOF,median,0.0,,tonnes carbon per km2,516.0,0.0
IDN,RCOF,median,0.3046799675450033,0.004996501694311046,tonnes carbon per km2,17019.0,10305.453997022882
IRN,RCOF,median,0.0,,tonnes carbon per km2,13014.0,0.0
IRQ,RCOF,median,0.0,,tonnes carbon per km2,2194.0,0.0
IRL,RCOF,median,0.0,,tonnes carbon per km2,1179.0,0.0
KAZ,RCOF,median,0.0,,tonnes carbon per km2,19285.0,0.0
KEN,RCOF,median,0.0,,tonnes carbon per km2,2336.0,0.0
KIR,RCOF,median,,,tonnes carbon per km2,,
PRK,RCOF,median,0.0,,tonnes carbon per km2,1732.0,0.0
KOR,RCOF,median,0.0,,tonnes carbon per km2,1276.0,0.0
XKX,RCOF,median,0.0,,tonnes carbon per km2,162.0,0.0
SRB,RCOF,median,0.0,,tonnes carbon per km2,1226.0,0.0
SYC,RCOF,median,,,tonnes carbon per km2,,
SLE,RCOF,median,0.005731152043586522,0.008313025889377242,tonnes carbon per km2,837.0,133.14900017619135
SGP,RCOF,median,0.0,,tonnes carbon per km2,6.0,0.0
ITA,RCOF,median,0.0,,tonnes carbon per km2,4398.0,0.0
JAM,RCOF,median,0.0,,tonnes carbon per km2,124.0,0.0
JPN,RCOF,median,0.0,,tonnes carbon per km2,4615.0,0.0
KGZ,RCOF,median,0.0,,tonnes carbon per km2,1660.0,0.0
LAO,RCOF,median,0.1164328540104856,0.010194590575623217,tonnes carbon per km2,1718.0,525.9250011050701
LVA,RCOF,median,0.0,,tonnes carbon per km2,1260.0,0.0
LBN,RCOF,median,0.0,,tonnes carbon per km2,135.0,0.0
LSO,RCOF,median,0.0,,tonnes carbon per km2,355.0,0.0
LBR,RCOF,median,0.04520905728724639,0.004571541786289863,tonnes carbon per km2,876.0,45.507000062465664
LBY,RCOF,median,0.0,,tonnes carbon per km2,1472.0,0.0
LIE,RCOF,median,0.0,,tonnes carbon per km2,1.0,0.0
LTU,RCOF,median,0.0,,tonnes carbon per km2,1279.0,0.0
LUX,RCOF,median,0.0,,tonnes carbon per km2,46.0,0.0
MCO,RCOF,median,,,tonnes carbon per km2,,
MNG,RCOF,median,0.0,,tonnes carbon per km2,3474.0,0.0
MNE,RCOF,median,0.0,,tonnes carbon per km2,203.0,0.0
MKD,RCOF,median,0.0,,tonnes carbon per km2,342.0,0.0
MDG,RCOF,median,0.1360264959284211,0.01862400377920921,tonnes carbon per km2,6181.0,1159.083000547439
MWI,RCOF,median,0.0,,tonnes carbon per km2,1114.0,0.0
MYS,RCOF,median,0.242758752455872,0.005800289880935435,tonnes carbon per km2,3122.0,94.57299998998641
MDV,RCOF,median,,,tonnes carbon per km2,,
MLI,RCOF,median,1.3612945556640625,0.15924376874745785,tonnes carbon per km2,4928.0,0.6709999847412109
MLT,RCOF,median,,,tonnes carbon per km2,,
MHL,RCOF,median,,,tonnes carbon per km2,,
MRT,RCOF,median,0.0,,tonnes carbon per km2,1747.0,0.0
MUS,RCOF,median,,,tonnes carbon per km2,,
MEX,RCOF,median,0.0,,tonnes carbon per km2,14927.0,0.0
FSM,RCOF,median,,,tonnes carbon per km2,,
MDA,RCOF,median,0.0,,tonnes carbon per km2,576.0,0.0
NIC,RCOF,median,0.0,,tonnes carbon per km2,1181.0,0.0
OMN,RCOF,median,0.0,,tonnes carbon per km2,516.0,0.0
PAK,RCOF,median,0.0,,tonnes carbon per km2,8215.0,0.0
PLW,RCOF,median,,,tonnes carbon per km2,,
PAN,RCOF,median,0.0,,tonnes carbon per km2,569.0,0.0
PNG,RCOF,median,0.05717030505684559,0.0013889244369831783,tonnes carbon per km2,1621.0,1.8860000406950714
PRY,RCOF,median,0.0,,tonnes carbon per km2,3583.0,0.0
PER,RCOF,median,0.0,,tonnes carbon per km2,5717.0,0.0
PHL,RCOF,median,0.2544179210848977,0.007187997633597958,tonnes carbon per km2,3272.0,1193.9880018641056
POL,RCOF,median,0.0,,tonnes carbon per km2,5775.0,0.0
PRT,RCOF,median,0.0,,tonnes carbon per km2,1318.0,0.0
ROU,RCOF,median,0.0,,tonnes carbon per km2,3561.0,0.0
RUS,RCOF,median,0.0,,tonnes carbon per km2,59185.0,0.0
RWA,RCOF,median,0.15580597877502442,0.18533407628204582,tonnes carbon per km2,270.0,0.64
WSM,RCOF,median,,,tonnes carbon per km2,,
SMR,RCOF,median,,,tonnes carbon per km2,,
TON,RCOF,median,,,tonnes carbon per km2,,
TTO,RCOF,median,0.31582180790042585,0.036980264942003606,tonnes carbon per km2,46.0,3.4080000086128717
TUN,RCOF,median,0.0,,tonnes carbon per km2,1230.0,0.0
TKM,RCOF,median,0.0,,tonnes carbon per km2,1153.0,0.0
STP,RCOF,median,,,tonnes carbon per km2,,
SAU,RCOF,median,0.0,,tonnes carbon per km2,3510.0,0.0
