ISO3,item_name,band_name,deltaE_mean,deltaE_mean_sem,unit,pixel_count,physical_area_km2,sp_count
AFG,PIGE,all,,,deltaE per km2 per sp.,,,31080
GBR,PIGE,all,,,deltaE per km2 per sp.,,,31080
ALB,PIGE,all,,,deltaE per km2 per sp.,,,31080
DZA,PIGE,all,,,deltaE per km2 per sp.,,,31080
USA,PIGE,all,-1.2434702723335388e-07,2.1616056811852404e-08,deltaE per km2 per sp.,6.0,1.0369999980926514,31080
ATA,PIGE,all,,,deltaE per km2 per sp.,,,31080
ATG,PIGE,all,,,deltaE per km2 per sp.,,,31080
ARG,PIGE,all,,,deltaE per km2 per sp.,,,31080
AND,PIGE,all,,,deltaE per km2 per sp.,,,31080
AGO,PIGE,all,-6.981660249927302e-10,0.0,deltaE per km2 per sp.,1.0,0.005,31080
ARM,PIGE,all,,,deltaE per km2 per sp.,,,31080
NLD,PIGE,all,,,deltaE per km2 per sp.,,,31080
AUS,PIGE,all,,,deltaE per km2 per sp.,,,31080
AUT,PIGE,all,,,deltaE per km2 per sp.,,,31080
AZE,PIGE,all,,,deltaE per km2 per sp.,,,31080
BHS,PIGE,all,,,deltaE per km2 per sp.,,,31080
BRB,PIGE,all,,,deltaE per km2 per sp.,,,31080
BLR,PIGE,all,,,deltaE per km2 per sp.,,,31080
BEL,PIGE,all,,,deltaE per km2 per sp.,,,31080
BLZ,PIGE,all,,,deltaE per km2 per sp.,,,31080
BTN,PIGE,all,-5.186699070361432e-09,2.123346731079772e-10,deltaE per km2 per sp.,2.0,0.04600000098347664,31080
BOL,PIGE,all,,,deltaE per km2 per sp.,,,31080
BIH,PIGE,all,,,deltaE per km2 per sp.,,,31080
BWA,PIGE,all,,,deltaE per km2 per sp.,,,31080
NOR,PIGE,all,,,deltaE per km2 per sp.,,,31080
COL,PIGE,all,-7.51763844907196e-09,1.9668651244854303e-09,deltaE per km2 per sp.,66.0,15.782999908924102,31080
